Duration,22 m 5 s
Start Time,Tue Dec 22 15:36:50 IST 2015
End Time,Tue Dec 22 15:59:00 IST 2015
Total Users,10
Total Hits,22200
Total Throughput,852285.55 Kb
Average Hits,16.75 hits/s
Average Throughput/s,643.23 kb/s
Testcases passed,100
Testcases failed,0
Testcases error rate,0
Step passed,2000
Step failed,0
Step error rate,0


Testcase name,User Count,User Percentage,Step name,Request name,Duration detail,Response Code,Success Count,Failure Count,Failure Rate(%),Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
Har_spree_scenario_10,10,100,,,,,100,0,0,2000,22200,125.9,5,117.7,132.02,133.67,134.1,137.48,8522.87,0.03,8522.84,8522.9,8522.9,8522.9,8522.9
"",,,1) http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/login,,,,100,0,0,100,800,4.92,0.41,4.34,5.3,5.37,5.38,6.61,315.24,0,315.24,315.24,315.24,315.24,315.24
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree_header-198b754a34f1428c25f64303be8ac2aae84a076433af18ca55b65d7cbf1a0e13.jpg,,,100,0,0,,100,0.28,0.02,0.26,0.29,0.29,0.29,0.4,0,0,0,0,0,0,0
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.02,0.26,0.28,0.29,0.29,0.4,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,,304,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-f790e2c4168dc64d4a5814841899776880357feb9be7f36586c037358c370598.js,,,100,0,0,,100,1.25,0.12,1.11,1.32,1.52,1.58,1.64,181.45,0,181.45,181.45,181.45,181.45,181.45
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.04,0.28,0.31,0.35,0.38,0.6,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.94,0.12,0.58,1.01,1.14,1.2,1.36,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,,,100,0,0,,100,0.58,0.16,0.52,0.56,0.56,0.56,1.99,0,0,0,0,0,0,0
"",,,,,Sending,,100,0,0,,0,0.29,0.06,0.26,0.28,0.28,0.28,0.8,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.14,0.26,0.28,0.28,0.28,1.69,0,0,0,0,0,0,0
